APPOINTMENT_ID,CALL_ID,DEALER_ID,AGENT_ID,CUSTOMER_ID,APPOINTMENT_DATETIME,APPOINTMENT_DATE,APPOINTMENT_TYPE,STATUS,DURATION_MINUTES,NOTES,CREATED_AT
APT00001,CALL000003,DLR004,AGT019,CUS01617,2024-01-17 22:29:57,2024-01-17,lease_return,scheduled,90,,2024-01-05 12:29:57
APT00002,CALL000006,DLR001,AGT002,CUS01540,2024-02-03 08:47:00,2024-02-03,oil_change,confirmed,90,,2024-01-19 17:47:00
APT00003,CALL000007,DLR004,AGT022,CUS00346,2024-01-09 23:30:17,2024-01-09,recall_repair,showed,60,,2024-01-05 14:30:17
APT00004,CALL000011,DLR003,AGT018,CUS00446,2024-01-12 03:48:15,2024-01-12,transmission_service,confirmed,60,,2024-01-08 16:48:15
APT00005,CALL000013,DLR001,AGT001,CUS01114,2024-01-30 23:10:57,2024-01-30,brake_service,showed,30,,2024-01-26 10:10:57
APT00006,CALL000023,DLR002,AGT011,CUS01933,2024-01-26 05:57:19,2024-01-26,brake_service,no_show,90,,2024-01-12 17:57:19
APT00007,CALL000025,DLR004,AGT024,CUS00149,2024-02-05 01:49:22,2024-02-05,oil_change,confirmed,120,,2024-01-22 10:49:22
APT00008,CALL000026,DLR004,AGT021,CUS01234,2024-02-02 10:57:20,2024-02-02,tire_rotation,confirmed,30,,2024-01-27 17:57:20
APT00009,CALL000029,DLR005,AGT025,CUS01996,2024-01-18 17:12:57,2024-01-18,tire_rotation,scheduled,45,,2024-01-14 08:12:57
APT00010,CALL000030,DLR005,AGT028,CUS00103,2024-02-03 07:12:56,2024-02-03,recall_repair,scheduled,120,,2024-01-27 14:12:56
APT00011,CALL000035,DLR002,AGT009,CUS01556,2024-01-28 23:00:50,2024-01-28,multi_point_inspection,confirmed,60,,2024-01-19 11:00:50
APT00012,CALL000040,DLR004,AGT019,CUS00963,2024-01-31 23:42:04,2024-01-31,oil_change,scheduled,120,,2024-01-19 10:42:04
APT00013,CALL000044,DLR001,AGT002,CUS00651,2024-02-01 01:30:49,2024-02-01,tire_rotation,no_show,30,,2024-01-17 11:30:49
APT00014,CALL000049,DLR003,AGT016,CUS01038,2024-02-03 16:49:40,2024-02-03,recall_repair,confirmed,120,,2024-01-24 08:49:40
APT00015,CALL000050,DLR004,AGT022,CUS00672,2024-01-06 16:31:21,2024-01-06,recall_repair,showed,30,,2024-01-03 08:31:21
APT00016,CALL000051,DLR003,AGT014,CUS00561,2024-01-18 00:01:06,2024-01-18,multi_point_inspection,no_show,45,,2024-01-03 15:01:06
APT00017,CALL000057,DLR001,AGT003,CUS00644,2024-01-16 05:21:00,2024-01-16,oil_change,confirmed,30,,2024-01-08 14:21:00
APT00018,CALL000058,DLR001,AGT003,CUS02000,2024-01-28 00:07:26,2024-01-28,recall_repair,showed,90,,2024-01-14 10:07:26
APT00019,CALL000060,DLR002,AGT010,CUS01227,2024-01-18 04:02:51,2024-01-18,tire_rotation,confirmed,45,,2024-01-08 16:02:51
APT00020,CALL000069,DLR001,AGT006,CUS01041,2024-01-16 20:41:49,2024-01-16,transmission_service,confirmed,90,,2024-01-03 12:41:49
APT00021,CALL000070,DLR004,AGT023,CUS00155,2024-01-12 02:51:08,2024-01-12,recall_repair,showed,30,,2024-01-07 14:51:08
