SCORE_ID,CALL_ID,AGENT_ID,GREETING,ACTIVE_LISTENING,OBJECTION_HANDLING,PRODUCT_KNOWLEDGE,CLOSING,PROFESSIONALISM,OVERALL_SCORE,SCORED_BY,NOTES,CREATED_AT
SCR000001,CALL000001,AGT007,72,79,57,47,54,45,59,AI,,2024-01-30 16:09:45
SCR000002,CALL000002,AGT011,68,73,89,79,63,70,73,AI,,2024-01-18 08:50:10
SCR000003,CALL000003,AGT019,67,54,62,60,58,85,64,AI,,2024-01-05 12:29:57
SCR000004,CALL000004,AGT029,86,52,71,52,61,58,63,AI,,2024-01-30 13:03:58
SCR000005,CALL000005,AGT001,93,86,88,75,89,88,86,AI,,2024-01-14 10:57:47
SCR000006,CALL000006,AGT002,63,48,29,53,53,66,52,AI,,2024-01-19 17:47:00
SCR000007,CALL000007,AGT022,84,58,46,64,72,56,63,AI,,2024-01-05 14:30:17
SCR000008,CALL000008,AGT017,68,76,69,73,67,64,69,AI,,2024-01-18 14:10:21
SCR000009,CALL000009,AGT003,48,76,73,84,59,54,65,supervisor,,2024-01-26 11:55:26
SCR000010,CALL000010,AGT007,87,59,88,76,66,48,70,AI,,2024-01-28 14:14:29
SCR000011,CALL000011,AGT018,78,87,86,65,88,78,80,supervisor,,2024-01-08 16:48:15
SCR000012,CALL000012,AGT003,57,58,58,86,72,89,70,supervisor,,2024-01-29 13:47:14
SCR000013,CALL000013,AGT001,96,90,70,69,91,72,81,AI,,2024-01-26 10:10:57
SCR000014,CALL000014,AGT016,66,80,78,66,83,65,73,supervisor,,2024-01-13 15:51:09
SCR000015,CALL000015,AGT013,75,74,38,73,25,26,51,AI,,2024-01-05 17:06:55
SCR000016,CALL000016,AGT012,67,69,71,34,61,31,55,supervisor,,2024-01-13 09:31:35
SCR000017,CALL000017,AGT013,50,71,31,52,32,48,47,AI,,2024-01-25 11:34:08
SCR000018,CALL000018,AGT024,65,60,47,67,82,71,65,supervisor,,2024-01-28 10:42:41
SCR000019,CALL000019,AGT026,96,98,70,100,69,79,85,supervisor,,2024-01-21 15:24:20
SCR000020,CALL000020,AGT028,64,53,75,49,70,62,62,AI,,2024-01-14 16:26:09
SCR000021,CALL000021,AGT026,70,98,94,77,79,84,83,AI,,2024-01-15 10:08:48
SCR000022,CALL000022,AGT009,69,47,71,80,89,90,74,supervisor,,2024-01-19 16:19:03
SCR000023,CALL000023,AGT011,45,48,74,77,79,82,67,AI,,2024-01-12 17:57:19
SCR000024,CALL000024,AGT012,27,47,32,32,63,51,42,supervisor,,2024-01-18 17:54:53
SCR000025,CALL000025,AGT024,61,69,61,50,87,63,65,supervisor,,2024-01-22 10:49:22
SCR000026,CALL000026,AGT021,68,93,70,96,90,85,83,supervisor,,2024-01-27 17:57:20
SCR000027,CALL000027,AGT025,51,76,68,68,66,72,66,AI,,2024-01-24 14:12:51
SCR000028,CALL000028,AGT007,85,49,54,68,45,68,61,supervisor,,2024-01-21 11:58:59
SCR000029,CALL000029,AGT025,65,63,60,80,64,78,68,AI,,2024-01-14 08:12:57
SCR000030,CALL000030,AGT028,50,59,62,83,49,71,62,supervisor,,2024-01-27 14:12:56
SCR000031,CALL000031,AGT009,74,90,64,60,55,81,70,AI,,2024-01-19 11:30:49
SCR000032,CALL000032,AGT028,89,89,72,54,60,89,75,AI,,2024-01-19 12:26:17
SCR000033,CALL000033,AGT011,87,69,56,58,70,60,66,AI,,2024-01-13 14:17:33
SCR000034,CALL000034,AGT026,97,78,83,94,76,92,86,supervisor,,2024-01-06 10:39:02
SCR000035,CALL000035,AGT009,68,54,70,81,69,79,70,supervisor,,2024-01-19 11:00:50
SCR000036,CALL000036,AGT021,66,90,72,95,75,72,78,AI,,2024-01-08 10:34:33
SCR000037,CALL000037,AGT020,88,53,66,56,82,80,70,supervisor,,2024-01-27 09:24:57
SCR000038,CALL000038,AGT013,55,46,64,35,70,44,52,AI,,2024-01-19 13:56:52
SCR000039,CALL000039,AGT004,90,93,65,84,90,99,86,AI,,2024-01-05 13:42:28
SCR000040,CALL000040,AGT019,68,47,58,49,46,86,59,supervisor,,2024-01-19 10:42:04
SCR000041,CALL000041,AGT006,28,63,58,47,70,64,55,AI,,2024-01-05 10:11:21
SCR000042,CALL000042,AGT009,69,82,88,71,67,79,76,supervisor,,2024-01-06 14:01:32
SCR000043,CALL000043,AGT015,66,75,85,84,82,84,79,AI,,2024-01-29 07:45:10
SCR000044,CALL000044,AGT002,41,69,68,27,55,42,50,AI,,2024-01-17 11:30:49
