CALL_ID,DEALER_ID,AGENT_ID,CUSTOMER_ID,CAMPAIGN_ID,CALL_DATETIME,CALL_DATE,DURATION_SECONDS,DISPOSITION,DIRECTION,CALL_TYPE,RECORDING_URL,CREATED_AT
CALL000001,DLR002,AGT007,CUS00478,CMP010,2024-01-30 16:09:45,2024-01-30,211,voicemail,outbound,live_connect,s3://bdc-recordings/DLR002/2024/01/30/CALL000001.mp3,2024-01-30 16:09:45
CALL000002,DLR002,AGT011,CUS01184,CMP010,2024-01-18 08:50:10,2024-01-18,164,callback_requested,outbound,live_connect,s3://bdc-recordings/DLR002/2024/01/18/CALL000002.mp3,2024-01-18 08:50:10
CALL000003,DLR004,AGT019,CUS01617,CMP018,2024-01-05 12:29:57,2024-01-05,179,appointment_set,outbound,live_connect,s3://bdc-recordings/DLR004/2024/01/05/CALL000003.mp3,2024-01-05 12:29:57
CALL000004,DLR005,AGT029,CUS00084,CMP024,2024-01-30 13:03:58,2024-01-30,220,complaint,outbound,no_answer,s3://bdc-recordings/DLR005/2024/01/30/CALL000004.mp3,2024-01-30 13:03:58
CALL000005,DLR001,AGT001,CUS00008,CMP005,2024-01-14 10:57:47,2024-01-14,341,callback_requested,outbound,live_connect,s3://bdc-recordings/DLR001/2024/01/14/CALL000005.mp3,2024-01-14 10:57:47
CALL000006,DLR001,AGT002,CUS01540,CMP002,2024-01-19 17:47:00,2024-01-19,67,appointment_set,outbound,live_connect,s3://bdc-recordings/DLR001/2024/01/19/CALL000006.mp3,2024-01-19 17:47:00
CALL000007,DLR004,AGT022,CUS00346,CMP020,2024-01-05 14:30:17,2024-01-05,193,appointment_set,outbound,live_connect,s3://bdc-recordings/DLR004/2024/01/05/CALL000007.mp3,2024-01-05 14:30:17
CALL000008,DLR003,AGT017,CUS00394,CMP014,2024-01-18 14:10:21,2024-01-18,192,complaint,outbound,live_connect,s3://bdc-recordings/DLR003/2024/01/18/CALL000008.mp3,2024-01-18 14:10:21
CALL000009,DLR001,AGT003,CUS00823,CMP004,2024-01-26 11:55:26,2024-01-26,216,no_answer,outbound,live_connect,s3://bdc-recordings/DLR001/2024/01/26/CALL000009.mp3,2024-01-26 11:55:26
CALL000010,DLR002,AGT007,CUS00186,CMP008,2024-01-28 14:14:29,2024-01-28,131,no_answer,outbound,no_answer,s3://bdc-recordings/DLR002/2024/01/28/CALL000010.mp3,2024-01-28 14:14:29
CALL000011,DLR003,AGT018,CUS00446,CMP012,2024-01-08 16:48:15,2024-01-08,343,appointment_set,outbound,live_connect,s3://bdc-recordings/DLR003/2024/01/08/CALL000011.mp3,2024-01-08 16:48:15
CALL000012,DLR001,AGT003,CUS00030,CMP005,2024-01-29 13:47:14,2024-01-29,229,no_answer,outbound,live_connect,s3://bdc-recordings/DLR001/2024/01/29/CALL000012.mp3,2024-01-29 13:47:14
CALL000013,DLR001,AGT001,CUS01114,CMP003,2024-01-26 10:10:57,2024-01-26,289,appointment_set,outbound,live_connect,s3://bdc-recordings/DLR001/2024/01/26/CALL000013.mp3,2024-01-26 10:10:57
CALL000014,DLR003,AGT016,CUS00447,CMP013,2024-01-13 15:51:09,2024-01-13,219,wrong_number,outbound,no_answer,s3://bdc-recordings/DLR003/2024/01/13/CALL000014.mp3,2024-01-13 15:51:09
CALL000015,DLR003,AGT013,CUS00678,CMP015,2024-01-05 17:06:55,2024-01-05,94,no_answer,outbound,voicemail,s3://bdc-recordings/DLR003/2024/01/05/CALL000015.mp3,2024-01-05 17:06:55
CALL000016,DLR002,AGT012,CUS01906,CMP006,2024-01-13 09:31:35,2024-01-13,140,no_answer,outbound,no_answer,s3://bdc-recordings/DLR002/2024/01/13/CALL000016.mp3,2024-01-13 09:31:35
CALL000017,DLR003,AGT013,CUS01779,CMP015,2024-01-25 11:34:08,2024-01-25,112,voicemail,outbound,live_connect,s3://bdc-recordings/DLR003/2024/01/25/CALL000017.mp3,2024-01-25 11:34:08
CALL000018,DLR004,AGT024,CUS00148,CMP017,2024-01-28 10:42:41,2024-01-28,171,no_answer,outbound,live_connect,s3://bdc-recordings/DLR004/2024/01/28/CALL000018.mp3,2024-01-28 10:42:41
CALL000019,DLR005,AGT026,CUS01065,CMP021,2024-01-21 15:24:20,2024-01-21,272,information_provided,outbound,voicemail,s3://bdc-recordings/DLR005/2024/01/21/CALL000019.mp3,2024-01-21 15:24:20
CALL000020,DLR005,AGT028,CUS00873,CMP024,2024-01-14 16:26:09,2024-01-14,173,voicemail,outbound,live_connect,s3://bdc-recordings/DLR005/2024/01/14/CALL000020.mp3,2024-01-14 16:26:09
CALL000021,DLR005,AGT026,CUS01682,CMP025,2024-01-15 10:08:48,2024-01-15,336,information_provided,outbound,no_answer,s3://bdc-recordings/DLR005/2024/01/15/CALL000021.mp3,2024-01-15 10:08:48
CALL000022,DLR002,AGT009,CUS00650,CMP006,2024-01-19 16:19:03,2024-01-19,173,do_not_call,outbound,live_connect,s3://bdc-recordings/DLR002/2024/01/19/CALL000022.mp3,2024-01-19 16:19:03
CALL000023,DLR002,AGT011,CUS01933,CMP009,2024-01-12 17:57:19,2024-01-12,159,appointment_set,outbound,live_connect,s3://bdc-recordings/DLR002/2024/01/12/CALL000023.mp3,2024-01-12 17:57:19
CALL000024,DLR002,AGT012,CUS01079,CMP007,2024-01-18 17:54:53,2024-01-18,118,no_answer,outbound,live_connect,s3://bdc-recordings/DLR002/2024/01/18/CALL000024.mp3,2024-01-18 17:54:53
CALL000025,DLR004,AGT024,CUS00149,CMP019,2024-01-22 10:49:22,2024-01-22,216,appointment_set,outbound,live_connect,s3://bdc-recordings/DLR004/2024/01/22/CALL000025.mp3,2024-01-22 10:49:22
CALL000026,DLR004,AGT021,CUS01234,CMP016,2024-01-27 17:57:20,2024-01-27,181,appointment_set,outbound,live_connect,s3://bdc-recordings/DLR004/2024/01/27/CALL000026.mp3,2024-01-27 17:57:20
CALL000027,DLR005,AGT025,CUS00770,CMP024,2024-01-24 14:12:51,2024-01-24,166,information_provided,outbound,voicemail,s3://bdc-recordings/DLR005/2024/01/24/CALL000027.mp3,2024-01-24 14:12:51
CALL000028,DLR002,AGT007,CUS01080,CMP009,2024-01-21 11:58:59,2024-01-21,135,voicemail,outbound,voicemail,s3://bdc-recordings/DLR002/2024/01/21/CALL000028.mp3,2024-01-21 11:58:59
CALL000029,DLR005,AGT025,CUS01996,CMP022,2024-01-14 08:12:57,2024-01-14,142,appointment_set,outbound,voicemail,s3://bdc-recordings/DLR005/2024/01/14/CALL000029.mp3,2024-01-14 08:12:57
CALL000030,DLR005,AGT028,CUS00103,CMP021,2024-01-27 14:12:56,2024-01-27,207,appointment_set,outbound,live_connect,s3://bdc-recordings/DLR005/2024/01/27/CALL000030.mp3,2024-01-27 14:12:56
CALL000031,DLR002,AGT009,CUS00368,CMP007,2024-01-19 11:30:49,2024-01-19,229,voicemail,outbound,no_answer,s3://bdc-recordings/DLR002/2024/01/19/CALL000031.mp3,2024-01-19 11:30:49
CALL000032,DLR005,AGT028,CUS01820,CMP023,2024-01-19 12:26:17,2024-01-19,219,voicemail,outbound,voicemail,s3://bdc-recordings/DLR005/2024/01/19/CALL000032.mp3,2024-01-19 12:26:17
CALL000033,DLR002,AGT011,CUS00271,CMP006,2024-01-13 14:17:33,2024-01-13,197,voicemail,outbound,no_answer,s3://bdc-recordings/DLR002/2024/01/13/CALL000033.mp3,2024-01-13 14:17:33
CALL000034,DLR005,AGT026,CUS01685,CMP024,2024-01-06 10:39:02,2024-01-06,189,no_answer,outbound,no_answer,s3://bdc-recordings/DLR005/2024/01/06/CALL000034.mp3,2024-01-06 10:39:02
CALL000035,DLR002,AGT009,CUS01556,CMP009,2024-01-19 11:00:50,2024-01-19,142,appointment_set,outbound,voicemail,s3://bdc-recordings/DLR002/2024/01/19/CALL000035.mp3,2024-01-19 11:00:50
CALL000036,DLR004,AGT021,CUS01203,CMP017,2024-01-08 10:34:33,2024-01-08,314,no_answer,outbound,no_answer,s3://bdc-recordings/DLR004/2024/01/08/CALL000036.mp3,2024-01-08 10:34:33
CALL000037,DLR004,AGT020,CUS01475,CMP020,2024-01-27 09:24:57,2024-01-27,215,information_provided,outbound,live_connect,s3://bdc-recordings/DLR004/2024/01/27/CALL000037.mp3,2024-01-27 09:24:57
CALL000038,DLR003,AGT013,CUS01443,CMP014,2024-01-19 13:56:52,2024-01-19,112,information_provided,outbound,live_connect,s3://bdc-recordings/DLR003/2024/01/19/CALL000038.mp3,2024-01-19 13:56:52
CALL000039,DLR001,AGT004,CUS00796,CMP002,2024-01-05 13:42:28,2024-01-05,318,information_provided,outbound,voicemail,s3://bdc-recordings/DLR001/2024/01/05/CALL000039.mp3,2024-01-05 13:42:28
CALL000040,DLR004,AGT019,CUS00963,CMP020,2024-01-19 10:42:04,2024-01-19,232,appointment_set,outbound,live_connect,s3://bdc-recordings/DLR004/2024/01/19/CALL000040.mp3,2024-01-19 10:42:04
CALL000041,DLR001,AGT006,CUS00207,CMP001,2024-01-05 10:11:21,2024-01-05,77,callback_requested,outbound,live_connect,s3://bdc-recordings/DLR001/2024/01/05/CALL000041.mp3,2024-01-05 10:11:21
CALL000042,DLR002,AGT009,CUS01351,CMP007,2024-01-06 14:01:32,2024-01-06,154,callback_requested,outbound,live_connect,s3://bdc-recordings/DLR002/2024/01/06/CALL000042.mp3,2024-01-06 14:01:32
CALL000043,DLR003,AGT015,CUS00457,CMP014,2024-01-29 07:45:10,2024-01-29,196,no_answer,outbound,no_answer,s3://bdc-recordings/DLR003/2024/01/29/CALL000043.mp3,2024-01-29 07:45:10
