TASK_ID,CALL_ID,DEALER_ID,AGENT_ID,CUSTOMER_ID,TASK_TYPE,PRIORITY,STATUS,DUE_DATE,COMPLETED_AT,NOTES,CREATED_AT
TSK00001,,DLR001,AGT022,CUS00962,update_contact,low,completed,2024-01-03,,,2023-12-29
TSK00002,CALL011623,DLR001,AGT014,CUS01233,confirm_appointment,high,in_progress,2024-01-02,2024-01-02,,2023-12-29
TSK00003,CALL014985,DLR003,AGT022,CUS00830,update_contact,low,completed,2024-01-22,2024-01-22,,2024-01-21
TSK00004,CALL009227,DLR004,AGT022,CUS00916,follow_up_call,medium,pending,2024-02-06,2024-02-06,,2024-02-04
TSK00005,CALL012589,DLR004,AGT007,CUS00147,escalate_complaint,low,completed,2024-01-21,,,2024-01-20
TSK00006,,DLR004,AGT010,CUS01758,follow_up_call,medium,cancelled,2024-01-07,2024-01-07,,2024-01-04
TSK00007,CALL011595,DLR002,AGT025,CUS00134,schedule_appointment,high,pending,2024-01-28,,,2024-01-24
TSK00008,CALL008051,DLR003,AGT004,CUS01970,send_coupon,medium,pending,2024-02-06,,,2024-02-03
TSK00009,CALL013719,DLR004,AGT013,CUS00617,send_survey,medium,completed,2024-01-22,,,2024-01-22
TSK00010,CALL004319,DLR003,AGT025,CUS00375,send_survey,high,completed,2024-02-04,2024-02-04,,2024-02-02
TSK00011,CALL002503,DLR005,AGT006,CUS00327,send_survey,medium,pending,2024-02-07,,,2024-02-03
TSK00012,CALL010797,DLR003,AGT009,CUS00031,send_survey,medium,completed,2024-01-12,2024-01-12,,2024-01-09
TSK00013,,DLR002,AGT012,CUS01984,send_recall_info,high,completed,2024-01-27,,,2024-01-22
TSK00014,CALL014172,DLR005,AGT019,CUS00382,send_coupon,medium,in_progress,2024-01-16,2024-01-16,,2024-01-15
TSK00015,,DLR001,AGT008,CUS00190,escalate_complaint,medium,completed,2024-01-31,,,2024-01-30
TSK00016,,DLR003,AGT019,CUS00429,send_recall_info,high,completed,2024-01-22,,,2024-01-21
TSK00017,CALL006041,DLR002,AGT025,CUS01348,send_survey,high,completed,2024-01-30,,,2024-01-30
TSK00018,CALL001149,DLR002,AGT003,CUS01831,send_survey,low,cancelled,2024-01-15,,,2024-01-10
TSK00019,CALL002314,DLR003,AGT001,CUS01941,send_survey,medium,pending,2024-01-05,2024-01-05,,2023-12-31
TSK00020,CALL009518,DLR003,AGT025,CUS01455,send_recall_info,low,pending,2024-01-29,,,2024-01-26
TSK00021,CALL002018,DLR005,AGT011,CUS00978,escalate_complaint,high,in_progress,2024-01-15,,,2024-01-15
TSK00022,,DLR004,AGT010,CUS00233,send_recall_info,high,cancelled,2024-01-29,,,2024-01-24
TSK00023,CALL014275,DLR002,AGT019,CUS00542,escalate_complaint,low,cancelled,2024-01-25,,,2024-01-21
TSK00024,CALL014137,DLR005,AGT014,CUS01949,send_recall_info,medium,completed,2024-01-06,,,2024-01-01
TSK00025,CALL012316,DLR002,AGT027,CUS00420,send_recall_info,high,pending,2024-01-31,,,2024-01-30
TSK00026,CALL006645,DLR003,AGT006,CUS01948,schedule_appointment,high,completed,2024-01-12,2024-01-12,,2024-01-11
TSK00027,CALL002236,DLR005,AGT018,CUS01742,confirm_appointment,medium,cancelled,2024-01-25,2024-01-25,,2024-01-24
TSK00028,,DLR004,AGT012,CUS01481,escalate_complaint,high,pending,2024-01-11,2024-01-11,,2024-01-09
TSK00029,CALL014480,DLR005,AGT026,CUS00501,confirm_appointment,medium,in_progress,2024-01-24,2024-01-24,,2024-01-23
TSK00030,CALL004895,DLR001,AGT029,CUS01845,schedule_appointment,medium,completed,2024-01-08,2024-01-08,,2024-01-08
TSK00031,CALL010057,DLR005,AGT030,CUS01936,follow_up_call,medium,in_progress,2024-01-14,2024-01-14,,2024-01-12
TSK00032,CALL013375,DLR003,AGT018,CUS00250,confirm_appointment,medium,pending,2024-01-23,,,2024-01-22
TSK00033,,DLR002,AGT002,CUS01578,send_recall_info,medium,completed,2024-01-09,,,2024-01-07
TSK00034,CALL004896,DLR002,AGT030,CUS00104,follow_up_call,high,completed,2024-01-07,2024-01-07,,2024-01-06
TSK00035,CALL004891,DLR005,AGT021,CUS01445,update_contact,medium,completed,2024-01-18,,,2024-01-13
TSK00036,CALL004287,DLR003,AGT017,CUS01827,send_survey,low,pending,2024-01-02,,,2023-12-31
TSK00037,,DLR001,AGT013,CUS00981,escalate_complaint,high,cancelled,2024-01-23,2024-01-23,,2024-01-21
TSK00038,CALL005872,DLR001,AGT009,CUS00425,follow_up_call,medium,completed,2024-01-14,,,2024-01-13
TSK00039,CALL011340,DLR005,AGT010,CUS01289,send_recall_info,high,pending,2024-02-03,2024-02-03,,2024-01-29
TSK00040,CALL014079,DLR002,AGT010,CUS00409,send_survey,medium,completed,2024-01-16,,,2024-01-13
TSK00041,,DLR005,AGT022,CUS01344,update_contact,medium,completed,2024-01-18,,,2024-01-16
TSK00042,,DLR001,AGT029,CUS01776,send_coupon,medium,in_progress,2024-01-04,2024-01-04,,2024-01-02
TSK00043,CALL013243,DLR005,AGT001,CUS01739,send_survey,medium,pending,2024-01-29,2024-01-29,,2024-01-25
TSK00044,CALL003622,DLR005,AGT018,CUS00522,schedule_appointment,low,completed,2024-01-07,2024-01-07,,2024-01-04
TSK00045,CALL006409,DLR002,AGT023,CUS01110,follow_up_call,medium,pending,2024-01-30,,,2024-01-27
TSK00046,CALL004407,DLR001,AGT025,CUS00621,send_recall_info,low,in_progress,2024-01-22,2024-01-22,,2024-01-21
TSK00047,CALL006391,DLR001,AGT028,CUS00577,update_contact,medium,completed,2024-01-04,,,2024-01-01
TSK00048,,DLR004,AGT001,CUS00352,update_contact,medium,completed,2024-01-11,2024-01-11,,2024-01-06
TSK00049,CALL002577,DLR005,AGT001,CUS01498,send_coupon,medium,pending,2024-01-04,2024-01-04,,2023-12-31
TSK00050,CALL004144,DLR002,AGT010,CUS01946,update_contact,medium,pending,2024-01-07,2024-01-07,,2024-01-03
TSK00051,CALL014002,DLR001,AGT016,CUS01877,schedule_appointment,medium,pending,2024-01-28,2024-01-28,,2024-01-26
TSK00052,,DLR004,AGT007,CUS01724,schedule_appointment,low,in_progress,2024-02-06,,,2024-02-06
TSK00053,,DLR004,AGT024,CUS00540,schedule_appointment,medium,in_progress,2024-01-29,,,2024-01-25
TSK00054,,DLR004,AGT008,CUS01192,update_contact,high,pending,2024-01-16,2024-01-16,,2024-01-16
TSK00055,CALL010524,DLR001,AGT030,CUS00901,send_coupon,low,completed,2024-01-29,,,2024-01-24
TSK00056,,DLR003,AGT019,CUS00035,send_survey,high,cancelled,2024-01-04,,,2024-01-01
TSK00057,CALL014047,DLR002,AGT019,CUS01724,confirm_appointment,low,completed,2024-01-07,2024-01-07,,2024-01-05
TSK00058,CALL002875,DLR004,AGT023,CUS01505,update_contact,medium,completed,2024-01-20,2024-01-20,,2024-01-19
TSK00059,CALL005738,DLR005,AGT009,CUS00571,escalate_complaint,medium,in_progress,2024-02-06,,,2024-02-04
TSK00060,CALL010983,DLR005,AGT012,CUS00371,follow_up_call,high,completed,2024-01-12,,,2024-01-07
TSK00061,CALL010632,DLR005,AGT007,CUS01844,update_contact,high,in_progress,2024-01-15,,,2024-01-15
TSK00062,CALL010738,DLR002,AGT018,CUS01266,send_survey,medium,pending,2024-01-10,,,2024-01-10
TSK00063,CALL014728,DLR004,AGT013,CUS00413,schedule_appointment,low,in_progress,2024-01-25,2024-01-25,,2024-01-23
TSK00064,CALL005254,DLR005,AGT015,CUS01943,send_coupon,high,in_progress,2024-02-06,,,2024-02-05
TSK00065,CALL000280,DLR005,AGT008,CUS00959,confirm_appointment,high,completed,2024-01-13,,,2024-01-09
TSK00066,CALL000710,DLR004,AGT012,CUS00505,schedule_appointment,medium,pending,2024-01-08,,,2024-01-08
TSK00067,CALL008711,DLR005,AGT012,CUS00524,send_recall_info,low,in_progress,2024-02-07,,,2024-02-07
TSK00068,CALL006019,DLR005,AGT003,CUS01622,send_coupon,high,pending,2024-01-01,,,2023-12-27
TSK00069,,DLR002,AGT004,CUS01862,follow_up_call,low,in_progress,2024-01-07,2024-01-07,,2024-01-04
TSK00070,CALL006006,DLR003,AGT021,CUS01927,send_survey,medium,in_progress,2024-01-11,,,2024-01-06
TSK00071,,DLR003,AGT011,CUS00961,send_recall_info,low,pending,2024-01-03,,,2024-01-03
TSK00072,CALL005745,DLR005,AGT005,CUS00482,schedule_appointment,high,completed,2024-01-26,,,2024-01-25
TSK00073,CALL007405,DLR001,AGT017,CUS01661,confirm_appointment,high,completed,2024-02-02,,,2024-01-28
TSK00074,CALL010561,DLR005,AGT001,CUS00867,send_survey,low,completed,2024-01-13,,,2024-01-09
TSK00075,CALL003196,DLR005,AGT003,CUS00309,follow_up_call,high,pending,2024-01-09,2024-01-09,,2024-01-05
TSK00076,,DLR005,AGT023,CUS00882,confirm_appointment,low,in_progress,2024-02-01,,,2024-01-27
TSK00077,CALL000257,DLR001,AGT016,CUS01329,send_recall_info,medium,in_progress,2024-01-16,,,2024-01-13
TSK00078,,DLR005,AGT025,CUS00361,send_coupon,low,completed,2024-01-14,,,2024-01-10
TSK00079,CALL004046,DLR001,AGT025,CUS00147,follow_up_call,medium,pending,2024-01-17,2024-01-17,,2024-01-16
TSK00080,,DLR002,AGT005,CUS01001,send_survey,high,completed,2024-01-13,,,2024-01-09
TSK00081,CALL000746,DLR003,AGT029,CUS00896,update_contact,low,completed,2024-02-05,2024-02-05,,2024-02-03
TSK00082,,DLR002,AGT027,CUS00651,send_survey,low,completed,2024-01-20,2024-01-20,,2024-01-16
TSK00083,,DLR003,AGT005,CUS00667,escalate_complaint,low,completed,2024-02-04,,,2024-01-31
TSK00084,CALL000850,DLR005,AGT021,CUS00416,escalate_complaint,low,pending,2024-01-03,,,2023-12-30
TSK00085,CALL005993,DLR001,AGT011,CUS00759,send_recall_info,low,completed,2024-01-21,2024-01-21,,2024-01-21
TSK00086,CALL012888,DLR001,AGT015,CUS01070,schedule_appointment,high,completed,2024-01-07,,,2024-01-06
TSK00087,CALL011846,DLR003,AGT024,CUS01058,send_survey,medium,pending,2024-01-07,,,2024-01-07
TSK00088,CALL011142,DLR003,AGT014,CUS00317,update_contact,medium,cancelled,2024-02-01,,,2024-01-31
TSK00089,,DLR001,AGT002,CUS00607,send_recall_info,medium,pending,2024-01-09,2024-01-09,,2024-01-08
TSK00090,,DLR003,AGT012,CUS01609,update_contact,low,completed,2024-01-22,2024-01-22,,2024-01-22
TSK00091,CALL000936,DLR002,AGT022,CUS00612,send_coupon,high,cancelled,2024-02-03,2024-02-03,,2024-02-01
TSK00092,,DLR004,AGT005,CUS01149,escalate_complaint,low,completed,2024-01-05,,,2024-01-04
TSK00093,CALL007200,DLR003,AGT024,CUS00969,confirm_appointment,high,completed,2024-01-23,,,2024-01-23
TSK00094,,DLR005,AGT030,CUS00221,send_coupon,high,pending,2024-01-26,,,2024-01-22
TSK00095,CALL011954,DLR005,AGT025,CUS01947,update_contact,high,completed,2024-02-04,,,2024-01-31
TSK00096,CALL008487,DLR003,AGT001,CUS01988,update_contact,medium,in_progress,2024-01-02,2024-01-02,,2024-01-01
TSK00097,CALL002718,DLR002,AGT027,CUS00389,follow_up_call,medium,pending,2024-01-27,,,2024-01-25
TSK00098,CALL010018,DLR005,AGT008,CUS00978,schedule_appointment,medium,completed,2024-02-03,2024-02-03,,2024-01-29
TSK00099,CALL006607,DLR003,AGT002,CUS01144,update_contact,medium,pending,2024-01-03,,,2023-12-30
TSK00100,CALL014240,DLR005,AGT002,CUS01127,send_recall_info,medium,completed,2024-02-03,2024-02-03,,2024-01-30
TSK00101,CALL010064,DLR004,AGT026,CUS01402,schedule_appointment,medium,completed,2024-02-06,,,2024-02-06
TSK00102,CALL009065,DLR005,AGT015,CUS00822,update_contact,high,cancelled,2024-01-31,2024-01-31,,2024-01-26
TSK00103,CALL014086,DLR003,AGT018,CUS01951,schedule_appointment,low,completed,2024-01-13,,,2024-01-10
TSK00104,CALL004522,DLR002,AGT025,CUS00605,send_survey,medium,completed,2024-01-29,2024-01-29,,2024-01-25
TSK00105,CALL009483,DLR005,AGT011,CUS00618,send_recall_info,medium,in_progress,2024-01-19,2024-01-19,,2024-01-17
TSK00106,CALL008809,DLR003,AGT002,CUS01373,send_coupon,low,in_progress,2024-01-29,2024-01-29,,2024-01-26
TSK00107,CALL011444,DLR005,AGT029,CUS01507,send_survey,high,cancelled,2024-01-31,,,2024-01-27
TSK00108,CALL013310,DLR004,AGT013,CUS00937,follow_up_call,medium,pending,2024-01-10,,,2024-01-08
TSK00109,CALL004348,DLR005,AGT010,CUS01153,follow_up_call,low,completed,2024-01-07,2024-01-07,,2024-01-05
TSK00110,CALL013507,DLR003,AGT008,CUS00191,confirm_appointment,high,completed,2024-02-03,,,2024-01-31
TSK00111,CALL005709,DLR001,AGT008,CUS01099,escalate_complaint,low,in_progress,2024-02-02,2024-02-02,,2024-02-02
TSK00112,,DLR004,AGT007,CUS00416,send_survey,medium,cancelled,2024-01-20,,,2024-01-20
TSK00113,CALL003568,DLR003,AGT027,CUS00729,schedule_appointment,medium,completed,2024-01-17,,,2024-01-12
TSK00114,,DLR001,AGT006,CUS01166,escalate_complaint,high,cancelled,2024-01-07,,,2024-01-02
TSK00115,CALL003688,DLR002,AGT006,CUS00788,send_coupon,medium,completed,2024-01-26,,,2024-01-22
TSK00116,CALL002487,DLR002,AGT018,CUS01929,send_coupon,medium,completed,2024-01-18,,,2024-01-16
TSK00117,CALL007403,DLR004,AGT016,CUS01132,follow_up_call,medium,pending,2024-02-05,,,2024-02-05
TSK00118,,DLR001,AGT006,CUS00042,escalate_complaint,medium,pending,2024-01-05,2024-01-05,,2024-01-05
TSK00119,CALL005297,DLR005,AGT004,CUS01342,escalate_complaint,medium,in_progress,2024-01-23,,,2024-01-22
TSK00120,CALL005017,DLR005,AGT007,CUS01874,send_recall_info,medium,completed,2024-01-16,,,2024-01-11
TSK00121,CALL012191,DLR003,AGT025,CUS01526,confirm_appointment,high,pending,2024-02-04,,,2024-02-01
TSK00122,,DLR003,AGT018,CUS01399,send_survey,medium,in_progress,2024-01-04,2024-01-04,,2024-01-01
TSK00123,CALL010467,DLR004,AGT003,CUS01344,confirm_appointment,medium,pending,2024-01-15,2024-01-15,,2024-01-11
TSK00124,CALL005452,DLR003,AGT003,CUS00927,update_contact,high,in_progress,2024-01-09,,,2024-01-06
TSK00125,CALL010131,DLR001,AGT025,CUS01352,follow_up_call,low,pending,2024-02-06,,,2024-02-06
TSK00126,CALL009299,DLR005,AGT018,CUS01408,escalate_complaint,medium,pending,2024-01-12,2024-01-12,,2024-01-08
TSK00127,,DLR002,AGT005,CUS01886,send_coupon,high,cancelled,2024-01-04,2024-01-04,,2024-01-01
TSK00128,CALL013454,DLR001,AGT019,CUS00493,send_coupon,medium,completed,2024-01-22,,,2024-01-22
TSK00129,CALL007981,DLR002,AGT019,CUS00691,follow_up_call,high,completed,2024-01-18,2024-01-18,,2024-01-17
TSK00130,CALL010386,DLR004,AGT002,CUS01660,confirm_appointment,medium,completed,2024-01-05,2024-01-05,,2024-01-03
TSK00131,,DLR003,AGT026,CUS01803,escalate_complaint,medium,pending,2024-01-09,,,2024-01-07
TSK00132,CALL004973,DLR004,AGT014,CUS01843,update_contact,high,completed,2024-02-05,,,2024-02-02
TSK00133,CALL009610,DLR003,AGT019,CUS00448,escalate_complaint,high,pending,2024-01-28,2024-01-28,,2024-01-28
TSK00134,CALL013795,DLR001,AGT014,CUS00711,send_recall_info,high,pending,2024-01-09,2024-01-09,,2024-01-05
TSK00135,,DLR005,AGT030,CUS01102,send_coupon,medium,pending,2024-01-15,,,2024-01-10
TSK00136,,DLR001,AGT013,CUS01388,update_contact,medium,completed,2024-01-14,,,2024-01-12
TSK00137,CALL006335,DLR002,AGT025,CUS00005,send_coupon,medium,in_progress,2024-01-12,,,2024-01-09
TSK00138,CALL003867,DLR001,AGT008,CUS00418,schedule_appointment,low,in_progress,2024-02-07,,,2024-02-07
TSK00139,,DLR001,AGT011,CUS00181,confirm_appointment,medium,completed,2024-02-03,,,2024-01-30
TSK00140,,DLR003,AGT019,CUS00749,follow_up_call,low,pending,2024-01-14,2024-01-14,,2024-01-12
TSK00141,CALL007428,DLR005,AGT030,CUS01240,send_recall_info,low,in_progress,2024-01-30,2024-01-30,,2024-01-30
TSK00142,,DLR002,AGT020,CUS01061,follow_up_call,low,cancelled,2024-01-08,,,2024-01-03
TSK00143,CALL007626,DLR002,AGT020,CUS00108,escalate_complaint,medium,in_progress,2024-01-17,,,2024-01-14
TSK00144,CALL001412,DLR003,AGT027,CUS00732,follow_up_call,low,cancelled,2024-01-10,2024-01-10,,2024-01-07
TSK00145,CALL014385,DLR004,AGT023,CUS01352,send_recall_info,low,completed,2024-01-13,2024-01-13,,2024-01-11
TSK00146,CALL002387,DLR002,AGT003,CUS00361,send_survey,medium,in_progress,2024-01-13,,,2024-01-11
TSK00147,CALL011190,DLR004,AGT015,CUS01961,escalate_complaint,medium,completed,2024-01-19,,,2024-01-17
TSK00148,,DLR003,AGT028,CUS00114,send_survey,medium,completed,2024-01-22,,,2024-01-18
TSK00149,CALL014975,DLR001,AGT023,CUS01857,follow_up_call,medium,in_progress,2024-01-15,2024-01-15,,2024-01-13
TSK00150,,DLR001,AGT008,CUS00557,confirm_appointment,medium,completed,2024-01-05,,,2024-01-03
TSK00151,CALL002772,DLR005,AGT009,CUS01225,confirm_appointment,low,completed,2024-01-09,2024-01-09,,2024-01-04
TSK00152,CALL002546,DLR002,AGT004,CUS01694,send_survey,high,pending,2024-01-10,,,2024-01-10
TSK00153,CALL012163,DLR002,AGT003,CUS00031,confirm_appointment,high,pending,2024-01-15,2024-01-15,,2024-01-11
TSK00154,CALL009419,DLR002,AGT026,CUS01547,send_survey,medium,completed,2024-01-25,,,2024-01-21
TSK00155,CALL006166,DLR002,AGT013,CUS01737,escalate_complaint,high,completed,2024-01-14,2024-01-14,,2024-01-13
TSK00156,CALL006731,DLR005,AGT020,CUS01619,confirm_appointment,high,in_progress,2024-01-19,2024-01-19,,2024-01-18
TSK00157,CALL004973,DLR001,AGT023,CUS00096,follow_up_call,medium,in_progress,2024-01-20,2024-01-20,,2024-01-20
TSK00158,CALL000366,DLR005,AGT020,CUS01029,follow_up_call,medium,in_progress,2024-02-07,,,2024-02-07
TSK00159,CALL011579,DLR005,AGT003,CUS01038,send_recall_info,high,completed,2024-01-10,2024-01-10,,2024-01-09
TSK00160,CALL012538,DLR002,AGT027,CUS00611,update_contact,medium,completed,2024-01-13,,,2024-01-08
TSK00161,CALL006191,DLR004,AGT030,CUS00735,confirm_appointment,medium,pending,2024-01-17,,,2024-01-12
TSK00162,,DLR003,AGT015,CUS00190,send_survey,low,completed,2024-02-01,,,2024-01-27
TSK00163,CALL010923,DLR004,AGT009,CUS01583,escalate_complaint,high,completed,2024-01-18,,,2024-01-13
TSK00164,,DLR001,AGT014,CUS00366,escalate_complaint,medium,completed,2024-01-22,,,2024-01-21
TSK00165,,DLR005,AGT021,CUS01666,update_contact,medium,pending,2024-02-01,,,2024-01-28
TSK00166,,DLR005,AGT029,CUS00130,update_contact,medium,cancelled,2024-01-18,,,2024-01-16
TSK00167,CALL003667,DLR003,AGT013,CUS00540,send_coupon,low,pending,2024-02-07,,,2024-02-03
TSK00168,CALL002192,DLR003,AGT004,CUS01399,confirm_appointment,high,in_progress,2024-01-12,,,2024-01-10
TSK00169,CALL002326,DLR002,AGT030,CUS00974,confirm_appointment,low,pending,2024-01-21,,,2024-01-21
TSK00170,CALL003630,DLR005,AGT017,CUS01894,send_survey,medium,completed,2024-02-06,,,2024-02-02
TSK00171,CALL008576,DLR004,AGT001,CUS00086,schedule_appointment,medium,completed,2024-01-23,,,2024-01-22
TSK00172,CALL004710,DLR003,AGT007,CUS00671,schedule_appointment,medium,in_progress,2024-01-23,,,2024-01-20
TSK00173,,DLR001,AGT002,CUS01100,update_contact,low,pending,2024-01-08,2024-01-08,,2024-01-05
TSK00174,CALL010231,DLR002,AGT010,CUS01777,send_recall_info,high,completed,2024-01-26,2024-01-26,,2024-01-23
TSK00175,CALL008151,DLR001,AGT008,CUS00363,send_survey,low,pending,2024-02-03,2024-02-03,,2024-01-30
TSK00176,,DLR004,AGT017,CUS00953,send_recall_info,medium,in_progress,2024-01-09,2024-01-09,,2024-01-05
TSK00177,,DLR004,AGT026,CUS01502,send_coupon,medium,completed,2024-01-17,,,2024-01-15
TSK00178,CALL007448,DLR005,AGT028,CUS01591,escalate_complaint,medium,pending,2024-01-09,,,2024-01-07
TSK00179,CALL001890,DLR003,AGT026,CUS01346,escalate_complaint,medium,completed,2024-01-06,,,2024-01-03
TSK00180,CALL000067,DLR002,AGT015,CUS01618,update_contact,low,cancelled,2024-01-20,2024-01-20,,2024-01-18
TSK00181,CALL007834,DLR005,AGT026,CUS01184,escalate_complaint,low,cancelled,2024-02-03,,,2024-02-03
TSK00182,,DLR001,AGT021,CUS01092,send_survey,high,completed,2024-02-04,,,2024-01-30
TSK00183,CALL009826,DLR005,AGT021,CUS01395,confirm_appointment,low,pending,2024-02-04,2024-02-04,,2024-01-30
TSK00184,,DLR005,AGT010,CUS01342,send_survey,high,completed,2024-01-17,,,2024-01-13
TSK00185,,DLR001,AGT027,CUS00181,follow_up_call,medium,pending,2024-01-14,,,2024-01-14
TSK00186,CALL003014,DLR001,AGT016,CUS00440,send_survey,medium,pending,2024-01-05,2024-01-05,,2023-12-31
TSK00187,CALL010533,DLR002,AGT022,CUS01173,escalate_complaint,medium,completed,2024-02-01,2024-02-01,,2024-02-01
TSK00188,,DLR003,AGT017,CUS00392,schedule_appointment,high,completed,2024-01-08,,,2024-01-05
TSK00189,CALL008224,DLR001,AGT017,CUS01778,update_contact,medium,pending,2024-01-02,,,2023-12-29
TSK00190,CALL014116,DLR004,AGT006,CUS00061,escalate_complaint,medium,in_progress,2024-02-02,,,2024-01-28
TSK00191,,DLR002,AGT003,CUS01153,escalate_complaint,high,in_progress,2024-01-31,2024-01-31,,2024-01-31
TSK00192,CALL012458,DLR002,AGT029,CUS00415,schedule_appointment,low,in_progress,2024-02-02,2024-02-02,,2024-01-30
TSK00193,CALL012229,DLR003,AGT010,CUS01802,update_contact,high,in_progress,2024-01-13,2024-01-13,,2024-01-12
TSK00194,,DLR001,AGT014,CUS01145,send_survey,medium,pending,2024-02-04,2024-02-04,,2024-02-04
TSK00195,CALL004036,DLR002,AGT014,CUS00552,follow_up_call,low,completed,2024-01-03,,,2024-01-02
TSK00196,CALL008710,DLR001,AGT028,CUS01334,send_survey,low,in_progress,2024-02-01,,,2024-01-27
TSK00197,,DLR005,AGT028,CUS00947,send_recall_info,low,completed,2024-01-19,,,2024-01-19
TSK00198,CALL007520,DLR002,AGT014,CUS00059,send_survey,high,pending,2024-01-20,2024-01-20,,2024-01-20
TSK00199,CALL004977,DLR005,AGT027,CUS00360,escalate_complaint,low,cancelled,2024-01-20,,,2024-01-18
TSK00200,,DLR001,AGT006,CUS01392,escalate_complaint,medium,in_progress,2024-02-02,2024-02-02,,2024-01-29
TSK00201,CALL002678,DLR005,AGT006,CUS01089,confirm_appointment,high,completed,2024-01-03,,,2023-12-29
TSK00202,CALL002958,DLR002,AGT023,CUS00324,update_contact,medium,in_progress,2024-01-04,2024-01-04,,2024-01-03
TSK00203,,DLR003,AGT027,CUS01915,send_recall_info,medium,pending,2024-01-26,2024-01-26,,2024-01-26
TSK00204,CALL006653,DLR004,AGT027,CUS00866,escalate_complaint,medium,pending,2024-01-01,,,2023-12-28
TSK00205,CALL009401,DLR004,AGT024,CUS00163,confirm_appointment,medium,completed,2024-01-18,,,2024-01-17
TSK00206,CALL013302,DLR005,AGT016,CUS00093,send_recall_info,medium,completed,2024-01-22,2024-01-22,,2024-01-18
TSK00207,,DLR002,AGT006,CUS01226,confirm_appointment,medium,completed,2024-02-02,,,2024-01-29
TSK00208,CALL013216,DLR005,AGT029,CUS01902,update_contact,low,in_progress,2024-01-28,,,2024-01-25
TSK00209,CALL012024,DLR004,AGT012,CUS01765,follow_up_call,medium,in_progress,2024-01-20,,,2024-01-16
TSK00210,CALL013302,DLR004,AGT016,CUS01374,send_survey,low,in_progress,2024-01-30,2024-01-30,,2024-01-26
TSK00211,CALL003695,DLR003,AGT019,CUS00336,follow_up_call,low,pending,2024-02-06,,,2024-02-03
TSK00212,CALL001995,DLR003,AGT025,CUS01930,escalate_complaint,low,completed,2024-01-13,,,2024-01-12
TSK00213,CALL012575,DLR005,AGT026,CUS01812,send_recall_info,high,pending,2024-02-01,2024-02-01,,2024-01-29
TSK00214,CALL012329,DLR002,AGT015,CUS00788,schedule_appointment,medium,pending,2024-01-04,2024-01-04,,2024-01-02
TSK00215,,DLR002,AGT002,CUS00843,confirm_appointment,medium,pending,2024-01-15,,,2024-01-12
TSK00216,,DLR001,AGT001,CUS00687,escalate_complaint,low,completed,2024-02-01,,,2024-01-31
TSK00217,CALL014448,DLR001,AGT027,CUS00399,escalate_complaint,medium,pending,2024-01-19,,,2024-01-14
