VEHICLE_ID,CUSTOMER_ID,DEALER_ID,VIN,YEAR,MAKE,MODEL,TRIM,COLOR,MILEAGE,PURCHASE_DATE,IS_LEASE,LEASE_END_DATE,CREATED_AT
VEH00001,CUS00001,DLR001,14804104718549327,2022,Toyota,Corolla,LE,Gold,99907,2019-03-08,True,2024-03-10,2022-01-24
VEH00002,CUS00002,DLR004,16411846582174812,2020,Chevrolet,Colorado,,Gold,12209,2019-12-17,False,,2023-08-28
VEH00003,CUS00003,DLR001,15364144353372316,2020,Toyota,Highlander,EX,Green,24352,2021-09-24,False,,2022-09-29
VEH00004,CUS00004,DLR004,17885698274139979,2022,Chevrolet,Equinox,Base,Brown,24001,2022-06-21,False,,2023-03-23
VEH00005,CUS00005,DLR005,16350101100815092,2021,BMW,X5,EX,Green,93408,2020-11-13,False,,2021-11-14
VEH00006,CUS00006,DLR004,15691803628912078,2021,Chevrolet,Colorado,Base,Silver,24980,2023-10-01,True,2024-04-15,2021-12-12
VEH00007,CUS00007,DLR004,14342278833025270,2021,Chevrolet,Equinox,Limited,Black,61843,2023-10-18,False,,2022-03-26
VEH00008,CUS00008,DLR004,13869733067308250,2020,Chevrolet,Malibu,LE,Gold,82337,2023-11-23,False,,2023-07-07
VEH00009,CUS00009,DLR003,16807847318373363,2022,Ford,Bronco,LX,White,6342,2023-07-11,False,,2022-11-21
VEH00010,CUS00010,DLR001,18785646319672750,2020,Kia,Sorento,,Beige,105121,2021-08-13,False,,2022-12-24
VEH00011,CUS00011,DLR001,11468390492543757,2018,Kia,Optima,Sport,Beige,59077,2020-01-23,True,2024-06-23,2021-06-14
VEH00012,CUS00012,DLR005,18863823995119263,2020,BMW,7 Series,Sport,Beige,73191,2021-10-31,True,2024-02-11,2022-03-31
VEH00013,CUS00013,DLR002,18605807802797565,2021,Honda,Accord,Base,Brown,10714,2022-11-26,True,2024-06-23,2023-09-06
VEH00014,CUS00014,DLR004,13167689860347863,2018,Kia,Sorento,LX,Green,96775,2021-01-23,False,,2021-04-25
VEH00015,CUS00015,DLR002,18459197647239279,2021,Honda,Civic,Base,Black,102620,2019-11-30,True,2023-10-12,2021-09-23
VEH00016,CUS00016,DLR001,11747714752819731,2021,Toyota,RAV4,,Blue,97696,2019-11-21,False,,2023-08-24
VEH00017,CUS00017,DLR004,16249793839819675,2019,Chevrolet,Equinox,SE,Beige,17955,2019-12-31,False,,2023-01-29
VEH00018,CUS00018,DLR004,19649293347770189,2019,Chevrolet,Malibu,SE,Beige,35182,2019-03-04,False,,2019-12-02
VEH00019,CUS00019,DLR004,17030602522870841,2019,Nissan,Altima,,Gray,42456,2023-03-18,False,,2020-05-08
VEH00020,CUS00020,DLR002,16496081342991336,2021,Honda,Odyssey,Base,Green,8569,2021-06-05,False,,2023-01-26
VEH00021,CUS00021,DLR002,15372929375004161,2020,Nissan,Altima,Base,Black,25866,2022-02-20,False,,2021-07-28
VEH00022,CUS00022,DLR002,18759525722583566,2020,Honda,Civic,SE,Gray,119324,2019-08-12,False,,2020-10-23
VEH00023,CUS00023,DLR001,13768768345644161,2023,Toyota,RAV4,Sport,Red,94317,2021-08-11,False,,2023-11-25
VEH00024,CUS00024,DLR003,19839494088918389,2019,Ford,Explorer,SE,Gray,35898,2022-06-11,False,,2021-07-09
VEH00025,CUS00025,DLR003,16213589785483893,2019,Ford,Edge,Base,Brown,95103,2022-12-02,True,2024-04-22,2020-01-17
VEH00026,CUS00026,DLR003,13476069090637888,2018,Kia,Sorento,LX,Gray,58509,2020-06-07,True,2024-02-21,2023-03-30
VEH00027,CUS00027,DLR003,15523407064964711,2018,Ford,F-150,Sport,Gold,99309,2022-02-03,False,,2022-10-11
VEH00028,CUS00028,DLR005,19188317053489428,2021,Nissan,Rogue,Limited,Silver,108829,2019-02-10,False,,2022-10-03
VEH00029,CUS00029,DLR001,17017695467639332,2022,Toyota,Camry,XLE,Black,71841,2020-05-21,False,,2022-03-11
VEH00030,CUS00030,DLR005,15045076062732543,2019,Hyundai,Tucson,LX,Green,61052,2022-10-28,False,,2021-08-18
VEH00031,CUS00031,DLR001,13700595064630066,2020,Kia,Sorento,XLE,White,93880,2023-03-10,False,,2023-02-28
VEH00032,CUS00032,DLR003,10697341361424784,2021,Ford,Edge,LX,Brown,111008,2020-05-01,True,2024-03-27,2021-09-13
VEH00033,CUS00033,DLR004,17178598489190497,2021,Chevrolet,Traverse,XLE,Green,29686,2022-10-08,False,,2020-03-31
VEH00034,CUS00034,DLR001,12736067284619260,2022,Toyota,Camry,LE,Silver,113421,2022-11-25,False,,2020-05-18
VEH00035,CUS00035,DLR003,18589067069289665,2020,Ford,Escape,Limited,Red,65074,2021-08-01,False,,2020-08-04
VEH00036,CUS00036,DLR004,11322378124372453,2019,Chevrolet,Equinox,Base,Brown,66195,2021-09-14,True,2024-05-21,2020-02-01
VEH00037,CUS00037,DLR005,18758377818290265,2022,BMW,7 Series,EX,Red,5386,2020-12-04,False,,2021-11-11
VEH00038,CUS00038,DLR003,17645884559738379,2019,Ford,Explorer,LX,Silver,28655,2020-01-23,True,2023-10-13,2023-06-04
VEH00039,CUS00039,DLR001,15790613372838951,2019,Toyota,Camry,EX,Red,43910,2021-09-14,False,,2022-09-18
VEH00040,CUS00040,DLR002,18804063818391239,2021,Honda,CR-V,EX,Gold,68585,2020-01-25,False,,2021-05-24
VEH00041,CUS00041,DLR004,19697978193734757,2019,Chevrolet,Malibu,LE,Gold,51972,2020-02-05,False,,2022-10-08
VEH00042,CUS00042,DLR003,18188943772564324,2021,Hyundai,Tucson,XLE,Gray,26271,2022-02-04,False,,2021-05-18
VEH00043,CUS00043,DLR002,15789430492876570,2021,Honda,Accord,SE,Silver,93080,2021-10-28,False,,2023-01-31
VEH00044,CUS00044,DLR001,14241979285138772,2020,Toyota,RAV4,Base,Beige,10606,2022-05-12,True,2024-04-24,2023-08-06
VEH00045,CUS00045,DLR001,17268652254014153,2019,Toyota,Camry,XLE,Silver,62871,2023-01-02,False,,2021-05-19
VEH00046,CUS00046,DLR005,15863113850943836,2022,BMW,7 Series,,Blue,75623,2022-03-16,False,,2020-05-01
VEH00047,CUS00047,DLR001,15239070469207850,2020,Toyota,RAV4,Sport,Gray,56920,2023-08-29,False,,2022-08-23
VEH00048,CUS00048,DLR005,12346370665679245,2021,BMW,X3,Limited,Beige,63824,2021-01-17,True,2024-06-25,2023-02-19
VEH00049,CUS00049,DLR003,11884525779530685,2019,Ford,Edge,,Gray,11126,2020-11-06,False,,2023-06-07
VEH00050,CUS00050,DLR001,13573551201499752,2021,Toyota,Tacoma,Limited,Brown,109502,2019-04-03,False,,2022-05-10
VEH00051,CUS00051,DLR003,13713245169009697,2020,Hyundai,Sonata,EX,Silver,63861,2022-02-24,False,,2020-07-24
VEH00052,CUS00052,DLR001,12911534928230688,2022,Toyota,Highlander,SE,Brown,21253,2020-11-14,False,,2021-02-02
VEH00053,CUS00053,DLR001,16223342363611846,2018,Kia,Optima,EX,Silver,116811,2021-11-12,True,2024-02-15,2020-05-03
VEH00054,CUS00054,DLR003,10601230074146721,2021,Ford,F-150,,Green,118040,2022-06-07,False,,2023-06-22
VEH00055,CUS00055,DLR002,16357217949189216,2020,Honda,Pilot,LX,White,78683,2019-09-11,False,,2023-10-16
VEH00056,CUS00056,DLR003,12815744708674356,2020,Ford,Escape,,Gold,11197,2023-03-09,False,,2020-02-09
VEH00057,CUS00057,DLR002,12550481845676128,2020,Nissan,Altima,LE,Brown,64855,2023-05-04,True,2024-04-29,2023-06-05
VEH00058,CUS00058,DLR005,11204014896236157,2021,Nissan,Rogue,LX,White,38188,2022-09-07,False,,2021-09-07
VEH00059,CUS00059,DLR001,14735323186906569,2021,Toyota,Highlander,Limited,Silver,6435,2021-07-14,False,,2023-03-22
VEH00060,CUS00060,DLR001,10734221516255675,2019,Nissan,Altima,LX,Black,91413,2022-04-04,True,2024-03-06,2021-05-22
VEH00061,CUS00061,DLR003,16034331774006984,2021,Ford,Bronco,Sport,Silver,13073,2020-03-16,False,,2022-03-12
VEH00062,CUS00062,DLR003,16351707605240753,2022,Ford,Explorer,LX,Green,75099,2023-03-17,False,,2021-11-27
VEH00063,CUS00063,DLR004,10893672991746520,2021,Chevrolet,Colorado,Sport,Gold,99597,2022-08-03,False,,2020-06-15
VEH00064,CUS00064,DLR002,16645081879020497,2021,Honda,CR-V,EX,Gold,5484,2020-02-07,False,,2022-08-30
VEH00065,CUS00065,DLR004,14323781157130017,2021,Chevrolet,Traverse,LX,Red,25257,2019-06-15,False,,2022-10-19
VEH00066,CUS00066,DLR001,14664586808969526,2020,Toyota,Camry,Base,Silver,28220,2022-07-04,False,,2021-09-18
VEH00067,CUS00067,DLR001,13075286164749904,2021,Toyota,Tacoma,SE,Red,21684,2021-04-28,False,,2023-04-19
VEH00068,CUS00068,DLR004,14139308966339843,2020,Chevrolet,Malibu,SE,White,60570,2021-03-27,False,,2021-03-15
VEH00069,CUS00069,DLR005,15685434017383911,2022,BMW,5 Series,Base,Gold,21541,2021-06-25,False,,2023-01-07
VEH00070,CUS00070,DLR004,16131024108577168,2019,Chevrolet,Malibu,Sport,Gold,113774,2021-04-09,False,,2023-07-06
VEH00071,CUS00071,DLR004,14169927885147632,2020,Chevrolet,Colorado,Base,Red,59290,2019-05-15,True,2024-01-24,2023-11-19
VEH00072,CUS00072,DLR002,15017669283972255,2022,Honda,Civic,XLE,Black,108434,2020-04-07,True,2023-12-25,2023-02-24
VEH00073,CUS00073,DLR004,10583752070407933,2019,Nissan,Rogue,Base,Blue,48885,2022-02-23,True,2023-11-21,2023-03-01
VEH00074,CUS00074,DLR002,17353710401302538,2021,Honda,CR-V,LE,Brown,73081,2020-10-18,False,,2021-03-19
VEH00075,CUS00075,DLR001,13875592966586077,2020,Toyota,Tacoma,,Beige,114142,2023-09-18,False,,2021-05-19
